类型;类别ID;类别;名称;地址;城市;区县;经度;纬度;开放时间;图片;img
15;211;文化礼堂;浦阳镇桃湖村文化礼堂;杭州市萧山区浦阳镇桃湖村木杓山自然村;杭州市;萧山区;120.237396;29.961224;周一至周日09:00-20:00;/whyx20221018/60/15408.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/60/15408.jpg
15;211;文化礼堂;春江街道新建村文化礼堂;杭州市富阳区春江街道新建村;杭州市;富阳区;119.98102;30.02111;08:00-20:00;/whyx20221018/60/14850.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/60/14850.jpg
16;212;文化家园;浙大求是社区文化家园;杭州市西湖区灵隐街道浙大求是社区;杭州市;西湖区;120.122343;30.265975;nan;/whyx20221018/6/8699.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/6/8699.jpg
19;214;公共阅报栏;杭州市萧山区南阳街道宣传栏;杭州市萧山区南阳街道向阳路10号;杭州市;萧山区;120.447785;30.259144;周一至周日24小时;/whyx20221018/6/7919.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/6/7919.jpg
7;203;美术馆;王少求美术馆;杭州市彩虹城75号王少求美术馆附近;杭州市;滨江区;120.122773;30.287643;相约开放;/whyx20221018/6/7838.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/6/7838.jpg
17;219;机房/广播站;南阳街道文化广播站;浙江省杭州市萧山区南阳街道潮上云临北苑;杭州市;萧山区;120.438068;30.266995;周一至周五08:30-11:30,13:30-16:30;/whyx20221018/6/7298.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/6/7298.jpg
13;209;老年活动中心;马山村老年活动中心;杭州市临安区潜川镇马山村;杭州市;临安区;119.301543;30.010609;全天开放;/whyx20221018/6/4798.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/6/4798.jpg
15;211;文化礼堂;乾潭镇仇村村文化礼堂;杭州市建德市乾潭镇仇村村委附近;杭州市;建德市;119.515787;29.646324;全天开放;/whyx20221018/6/15332.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/6/15332.jpg
1;198;农家书屋;鲜丰水果股份有限公司职工书屋;杭州市拱墅区三墩路85号东楼1-4层;杭州市;拱墅区;120.110169;30.334922;周一至周五;/whyx20221018/6/13037.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/6/13037.jpg
16;212;文化家园;王有史社区文化家园;杭州市萧山区新塘街道育才路施家波桥东（育才路、方旭弄交界口东南）;杭州市;萧山区;120.28;30.14;夏令时8:30-17:00 冬令时8:30-17:00;/whyx20221018/59/8847.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/59/8847.jpg
17;219;机房/广播站;千岛湖镇华数营业厅;杭州市淳安县千岛湖镇新安东路489号;杭州市;淳安县;119.041848;29.604563;8：00-20：00;/whyx20221018/59/6841.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/59/6841.jpg
9;205;体育设施;新宇村多功能球场;临平区运河街道新宇村6组姜石68号对面;杭州市;临平区;120.31692;30.513194;周一至周日8:00--22：00;/whyx20221018/59/5033.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/59/5033.jpg
13;209;老年活动中心;乐平村老年活动中心;杭州市临安区潜川镇乐平村常乐寺121号;杭州市;临安区;119.403577;30.013098;全天开放;/whyx20221018/59/4791.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/59/4791.jpg
1;198;农家书屋;靖江街道靖南村农家书屋;杭州市萧山区靖江街道靖南村68号;杭州市;萧山区;120.452927;30.227751;周一至周五8:00-11:00；13:00-17：00;/whyx20221018/59/11627.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/59/11627.jpg
11;207;青少年宫;萧山区青少年年宫空港分宫;杭州市萧山区靖江路(近靖东村);杭州市;萧山区;120.46657;30.220736;nan;/whyx20221018/58/7863.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/58/7863.jpg
17;219;机房/广播站;萧山区红山农场文化广播站;杭州市萧山区红山农场萧清大道440号;杭州市;萧山区;120.382023;30.229989;周一至周五：8:00--16:30;/whyx20221018/58/7155.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/58/7155.jpg
14;210;文体中心;凤川街道综合文体站;桐庐县凤川大道凤川小学北侧约70米;杭州市;桐庐县;119.763184;29.827686;周一至周日8：00-17:30;/whyx20221018/58/6213.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/58/6213.jpg
16;212;文化家园;体东社区文化家园;中江花园15-2-3楼;杭州市;拱墅区;120.185068;30.272218;周一至周日9:00-17:00;/whyx20221018/58/6055.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/58/6055.jpg
15;211;文化礼堂;大同镇江头村文化礼堂;杭州市建德市大同镇619县道靠近江头;杭州市;建德市;119.013029;29.23617;周一到周日09:00-17:00;/whyx20221018/58/16249.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/58/16249.jpg
15;211;文化礼堂;潜川镇阔滩村文化礼堂;浙江省杭州市临安区潜川镇阔滩村文化礼堂门牌号阔滩村6号;杭州市;临安区;119.384931;30.043699;08:30-20:00;/whyx20221018/58/15307.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/58/15307.jpg
15;211;文化礼堂;新登镇湘河村文化礼堂;富阳区新登镇湘河村;杭州市;富阳区;119.67981;30.08967;08:00-20:00;/whyx20221018/58/14870.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/58/14870.jpg
13;209;老年活动中心;金雅苑社区居家养老活动中心;杭州市上城区九堡街道金雅苑社区居家养老活动中心;杭州市;上城区;120.277747;30.309661;09:00-11:00;/whyx20221018/57/8652.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/57/8652.jpg
17;219;机房/广播站;机房;杭州市海月路73、75、77号;杭州市;上城区;120.161725;30.207564;不开放;/whyx20221018/57/8005.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/57/8005.jpg
12;208;儿童之家;众联村妇女儿童活动中心;萧山区河上镇众联村199号;杭州市;萧山区;120.180871;29.950121;周一至周日08：30-17:00;/whyx20221018/57/7190.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/57/7190.jpg
1;198;农家书屋;浙宝电气（杭州）集团有限公司职工书屋;杭州市上城区笕桥俞章路88号(华中南路地铁站G口步行440米);杭州市;上城区;120.201203;30.322337;周一至周日08:30-16:30;/whyx20221018/57/13108.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/57/13108.jpg
3;200;文化活动室;竹竿巷社区文化活动室;杭州市拱墅区武林街道竹竿巷社区文化活动室;杭州市;拱墅区;120.161821;30.26294;nan;/whyx20221018/56/8862.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/56/8862.jpg
3;200;文化活动室;华联社区文体活动室;杭州市拱墅区华联社区文体活动室;杭州市;拱墅区;120.1588393;30.28739899;nan;/whyx20221018/56/8569.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/56/8569.jpg
3;200;文化活动室;府苑社区文化活动中心;杭州市西湖区蒋村街道府苑社区文化活动中心;杭州市;西湖区;120.0592865;30.28299634;nan;/whyx20221018/56/8488.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/56/8488.jpg
17;219;机房/广播站;玉华山发射台;杭州市分水镇;杭州市;桐庐县;119.4405246;29.93000074;不开放;/whyx20221018/56/8040.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/56/8040.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市圣苑13-303;杭州市;西湖区;120.0922315;30.3058138;nan;/whyx20221018/56/7964.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/56/7964.jpg
2;199;文博场馆;杭州市临安区烈士纪念馆管理所;杭州市临安区锦城街道玲珑山路1717号;杭州市;临安区;119.687292;30.222619;周二至周日9:00—11:00，14:00—16:00;/whyx20221018/56/7883.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/56/7883.jpg
16;212;文化家园;翠苑二区社区文化家园;杭州市西湖区翠苑二区4-1;杭州市;西湖区;120.127465;30.289503;全天开放;/whyx20221018/56/7546.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/56/7546.jpg
15;211;文化礼堂;大同镇竹源村文化礼堂;杭州市建德市大同镇竹源村叶村自然村;杭州市;建德市;119.842344;29.981198;周一到周日09:00-17:00;/whyx20221018/56/16229.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/56/16229.jpg
15;211;文化礼堂;三都镇和村文化礼堂;杭州市建德市三都镇和村自然村;杭州市;建德市;119.604474;29.534721;夏令时08:00-17:30 冬令时08:00-17:00;/whyx20221018/56/15213.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/56/15213.jpg
3;200;文化活动室;黎园社区活动室;杭州市拱墅区黎园社区活动室;杭州市;拱墅区;120.1616087;30.28506239;nan;/whyx20221018/55/8672.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/55/8672.jpg
3;200;文化活动室;半道红文化活动室;杭州市拱墅区米市巷街道半道红文化活动室;杭州市;拱墅区;120.145612;30.288792;nan;/whyx20221018/54/8718.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/54/8718.jpg
3;200;文化活动室;京都苑社区综合文化服务中心;杭州市拱墅区京都苑社区综合文化服务中心;杭州市;拱墅区;120.1806683;30.27179919;nan;/whyx20221018/54/8637.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/54/8637.jpg
3;200;文化活动室;蔡东藩社区文化活动室;杭州市萧山区临浦镇蔡东藩社区文化活动室;杭州市;萧山区;120.2730335;30.16120463;nan;/whyx20221018/54/8431.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/54/8431.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市招商雍泽府21幢底商9号;杭州市;上城区;120.2450971;30.30034447;nan;/whyx20221018/54/7984.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/54/7984.jpg
2;199;文博场馆;彰坞竹艺非遗展示馆 ;杭州市桐庐县彰坞竹艺非遗展示馆 ;杭州市;桐庐县;119.7987847;29.81371247;nan;/whyx20221018/53/9507.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/53/9507.jpg
3;200;文化活动室;长乐苑社区文化服务中心;杭州市拱墅区长乐苑社区文化服务中心;杭州市;拱墅区;120.1806683;30.27179919;nan;/whyx20221018/53/9015.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/53/9015.jpg
7;203;美术馆;钱塘湾艺术馆;杭州市浙江省滨江区银杏汇9号楼(1~2楼);杭州市;滨江区;120.147694;30.189764;10:00-03:00;/whyx20221018/53/7831.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/53/7831.jpg
15;211;文化礼堂;大同镇清潭村文化礼堂;杭州市建德市大同镇清潭村;杭州市;建德市;119.10452;29.266133;周一到周日09:00-17:00;/whyx20221018/53/16244.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/53/16244.jpg
15;211;文化礼堂;威坪镇笔峰村文化礼堂;浙江省杭州市淳安县威坪镇笔峰村共享法庭;杭州市;淳安县;118.81638;29.806862;08:00-17:00;/whyx20221018/53/14956.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/53/14956.jpg
15;211;文化礼堂;闲林街道闲林村文化礼堂;杭州市余杭区闲林街道闲林村西坞畈公寓;杭州市;余杭区;119.984448;30.221244;周一至周日9:00-17:00;/whyx20221018/53/14875.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/53/14875.jpg
3;200;文化活动室;仙林社区文化活动室;杭州市拱墅区武林街道仙林社区文化活动室;杭州市;拱墅区;120.165749;30.263798;nan;/whyx20221018/52/8859.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/52/8859.jpg
3;200;文化活动室;流水西苑社区综合文化服务中心;杭州市拱墅区流水西苑社区综合文化服务中心;杭州市;拱墅区;120.1806683;30.27179919;nan;/whyx20221018/52/8701.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/52/8701.jpg
17;219;机房/广播站;百丈山发射台;杭州市富阳区新登镇百丈山;杭州市;富阳区;119.7306328;29.95024911;不开放;/whyx20221018/52/8037.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/52/8037.jpg
17;219;机房/广播站;机房;杭州市环城北路63号201室;杭州市;拱墅区;120.181722;30.274446;不开放;/whyx20221018/52/8000.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/52/8000.jpg
9;205;体育设施;杭南村室内健身馆;临平区运河街道杭南村杭南路8号;杭州市;临平区;120.266087;30.485573;周一至周日8:30-20:30;/whyx20221018/52/5045.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/52/5045.jpg
3;200;文化活动室;吴山路社区文化活动室;杭州市上城区湖滨街道吴山路社区文化活动室;杭州市;上城区;120.161466;30.254657;nan;/whyx20221018/51/8564.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/51/8564.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市梅岭北路7号（原街道综合服务中心附楼）2楼三间;杭州市;西湖区;120.17707;30.279109;nan;/whyx20221018/51/7969.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/51/7969.jpg
19;214;公共阅报栏;杭州市钱塘区复兴路新湾农商银行阅报栏;杭州市钱塘区新湾街道新湾大道588号;杭州市;钱塘区;120.541927;30.285273;全天开放;/whyx20221018/51/7659.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/51/7659.jpg
16;212;文化家园;江寺社区文化家园;杭州市萧山区城厢街道韩家弄2幢;杭州市;萧山区;120.272755;30.161318;周一至周五8:30-11:30；1:30-4:30;/whyx20221018/51/7477.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/51/7477.jpg
15;211;文化礼堂;场口镇下图山村文化礼堂;富阳区场口镇下图山村;杭州市;富阳区;119.85108;29.86493;08:00-20:00;/whyx20221018/51/14895.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/51/14895.jpg
1;198;农家书屋;浙江未来教育书社有限公司西湖文化广场分公司;杭州市拱墅区环城北路47号;杭州市;拱墅区;120.163755;30.276652;周一至周日08:00－22:00;/whyx20221018/51/13131.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/51/13131.jpg
3;200;文化活动室;米市社区文化活动室;杭州市拱墅区米市巷街道米市社区活动室;杭州市;拱墅区;120.143696;30.289418;nan;/whyx20221018/50/8721.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/50/8721.jpg
3;200;文化活动室;太平桥社区文化活动室;杭州市富阳区富春街道太平桥社区文化活动室;杭州市;富阳区;120.273033;30.161205;nan;/whyx20221018/50/8509.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/50/8509.jpg
16;212;文化家园;学府社区文化家园;杭州市余杭区学府社区文化家园;杭州市;余杭区;119.972653;30.374198;nan;/whyx20221018/50/8347.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/50/8347.jpg
17;219;机房/广播站;机房;杭州市滨江区联庄2区28-1号;杭州市;滨江区;120.1497104;30.18220181;不开放;/whyx20221018/50/8017.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/50/8017.jpg
1;198;农家书屋;党湾镇如松村农家书屋;杭州市萧山区瓜沥镇洛阳村文化礼堂;杭州市;萧山区;120.421976;30.16178;周一至周五08:00-16:30;/whyx20221018/50/11420.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/50/11420.jpg
16;212;文化家园;罗婆路社区文化家园;杭州市萧山区新塘街道右岸澜庭10幢（罗婆路、方旭弄）交叉口东南;杭州市;萧山区;120.279198;30.134697;nan;/whyx20221018/5/8708.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/5/8708.jpg
17;219;机房/广播站;峙山发射台;杭州市萧山区临浦镇峙山;杭州市;萧山区;120.247412;30.038405;不开放;/whyx20221018/5/8030.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/5/8030.jpg
1;198;农家书屋;东新街道灯塔社区图书室;杭州市拱墅区灯塔社区图书室;杭州市;拱墅区;120.1621457;30.31560589;nan;/whyx20221018/49/8463.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/49/8463.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市萍水东路万家花城二期22-1号-1;杭州市;拱墅区;120.1055698;30.304973;nan;/whyx20221018/49/7989.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/49/7989.jpg
17;219;机房/广播站;众联村广播电视播出传输覆盖设施;杭州市萧山区河上镇众联村众利自然村45号;杭州市;萧山区;120.181269;29.9492;全天候开放;/whyx20221018/49/7871.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/49/7871.jpg
13;209;老年活动中心;高桥社区老年活动中心;杭州市萧山区城厢街道道源路288号高桥社区老年过渡房;杭州市;萧山区;120.278752;30.151926;周一至周日上午8：00-11：00下午13：00-16:00;/whyx20221018/49/7497.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/49/7497.jpg
13;209;老年活动中心;道墩坝社区老年活动中心;杭州市临平区东湖街道道墩坝社区3组道墩坝87号;杭州市;临平区;120.278575;30.479335;周一至周日08:30-17:00;/whyx20221018/49/5178.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/49/5178.jpg
16;212;文化家园;庆丰社区文化家园;杭州市西湖区灵隐街道庆丰社区;杭州市;西湖区;120.122125;30.272327;nan;/whyx20221018/48/8697.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/48/8697.jpg
13;209;老年活动中心;牛田社区文化家园;杭州市上城区九堡街道牛田社区老年活动中心;杭州市;上城区;120.224187;30.33883;09:00-11:00;/whyx20221018/48/8660.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/48/8660.jpg
3;200;文化活动室;半山街道沈家桥社区文化活动室;杭州市拱墅区半山街道沈家桥社区文化活动室;杭州市;拱墅区;120.1784909;30.36855456;nan;/whyx20221018/48/8408.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/48/8408.jpg
15;211;文化礼堂;城南街道乔林村文化礼堂;杭州市桐庐县城南街道乔林村;杭州市;桐庐县;119.681873;29.782863;08:30:00-17:00:02;/whyx20221018/48/15293.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/48/15293.jpg
1;198;农家书屋;浙江光越传动科技有限公司职工书屋;杭州市拱墅区石桥街道石祥路93号新天地尚座东楼;杭州市;拱墅区;120.181809;30.327021;周一至周五，9:30-16:00;/whyx20221018/48/13116.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/48/13116.jpg
3;200;文化活动室;吴牙社区文化活动室;杭州市拱墅区吴牙社区文化活动室;杭州市;拱墅区;120.169435;30.26163229;nan;/whyx20221018/47/8854.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/47/8854.jpg
16;212;文化家园;镇东文化家园;杭州市余杭区镇东文化家园;杭州市;余杭区;119.73095;30.524872;nan;/whyx20221018/47/8362.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/47/8362.jpg
17;219;机房/广播站;广播电视发射台;杭州市皋亭山上;杭州市;拱墅区;120.2145355;30.38856495;不开放;/whyx20221018/47/8032.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/47/8032.jpg
18;213;文化服务点/阅览室;办公及机房;杭州市滨江区长江路179号;杭州市;滨江区;120.203852;30.156228;nan;/whyx20221018/47/7972.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/47/7972.jpg
16;212;文化家园;拱秀社区文化家园;杭州市萧山区城厢街道拱秀社区老年活动室;杭州市;萧山区;120.273528;30.154509;周一至周六上午8：00至10：30，下午1：00至4：00;/whyx20221018/47/7480.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/47/7480.jpg
9;205;体育设施;南栅口社区体育场地;临平区运河街道南栅口社区4组24号南;杭州市;临平区;120.305952;30.462954;周一至周五8.30--16.30;/whyx20221018/47/5040.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/47/5040.jpg
15;211;文化礼堂;常安镇杏梅坞村文化礼堂;富阳区常安镇杏梅坞村;杭州市;富阳区;119.93465;29.85288;08:00-20:00;/whyx20221018/47/14808.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/47/14808.jpg
3;200;文化活动室;云顶社区文化活动室;杭州市富阳区云顶社区文化活动室;杭州市;富阳区;119.7308617;29.9752535;nan;/whyx20221018/46/8970.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/46/8970.jpg
1;198;农家书屋;东新街道三塘苑社区图书室;杭州市拱墅区三塘苑社区阅览室;杭州市;拱墅区;120.166353;30.311398;nan;/whyx20221018/46/8798.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/46/8798.jpg
3;200;文化活动室;临东社区文化活动室;杭州市萧山区临浦镇临东社区文化活动室;杭州市;萧山区;120.2730335;30.16120463;nan;/whyx20221018/46/8680.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/46/8680.jpg
15;211;文化礼堂;大同镇高桥村文化礼堂;杭州市建德市大同镇高桥村;杭州市;建德市;119.112155;29.323917;周一到周日09:00-17:00;/whyx20221018/46/16256.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/46/16256.jpg
15;211;文化礼堂;杨村桥镇徐坑村文化礼堂;杭州市建德市杨村桥镇徐坑村;杭州市;建德市;119.410344;29.648736;周一至周日9:00-17:00;/whyx20221018/46/14782.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/46/14782.jpg
17;219;机房/广播站;机房;杭州市莫干山路102号轻工技校办公大楼7楼;杭州市;拱墅区;120.151438;30.2818202;不开放;/whyx20221018/45/8012.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/45/8012.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市兰韵天城13幢底商2号;杭州市;西湖区;120.085196;30.330585;nan;/whyx20221018/45/7992.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/45/7992.jpg
15;211;文化礼堂;大慈岩镇三元村文化礼堂;杭州市建德市大慈岩镇三元村;杭州市;建德市;119.315577;29.306227;周一到周日09:00-17:00;/whyx20221018/45/16291.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/45/16291.jpg
2;199;文博场馆;吉利汽车博物馆;杭州市萧山区吉利汽车博物馆;杭州市;萧山区;120.284617;30.171363;周一至周日08:30-17:00;/whyx20221018/45/14525.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/45/14525.jpg
3;200;文化活动室;西湖区文化馆;杭州市西湖区曙光路184号;杭州市;西湖区;120.130316;30.254024;周一至周日9：00-21：00;/whyx20221018/45/10691.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/45/10691.jpg
18;213;文化服务点/阅览室;公共数字文化服务点;杭州市三塘南村19-3-101;杭州市;拱墅区;120.166212;30.305616;nan;/whyx20221018/44/7957.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/44/7957.jpg
3;200;文化活动室;临浦镇文化馆;杭州市萧山区临浦镇人民路22号;杭州市;萧山区;120.247647;30.046092;周一至周日8：00-16:00;/whyx20221018/44/7465.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/44/7465.jpg
15;211;文化礼堂;百江镇金塘坞村文化礼堂;杭州市桐庐县外金塘坞东南约123米;杭州市;桐庐县;119.585038;29.888714;周一到周日09:00-17:00;/whyx20221018/44/16397.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/44/16397.jpg
15;211;文化礼堂;大同镇小溪源村文化礼堂;杭州市建德市大同镇618县道靠近觉义坞;杭州市;建德市;119.053669;29.270723;周一到周日09:00-17:00;/whyx20221018/44/16236.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/44/16236.jpg
15;211;文化礼堂;岛石镇太平里村文化礼堂;浙江省杭州市临安区岛石镇太平里村坞口;杭州市;临安区;118.912685;30.291707;08:30-16:30;/whyx20221018/44/16155.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/44/16155.jpg
3;200;文化活动室;水澄桥社区文化活动室;杭州市上城区水澄桥社区文化活动室;杭州市;上城区;120.1491558;30.20694168;nan;/whyx20221018/43/8814.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/43/8814.jpg
13;209;老年活动中心;杨公社区居家养老照料中心;杭州市上城区九堡街道杨公社区居家养老照料中心;杭州市;上城区;120.202448;30.209254;09:00-11:00;/whyx20221018/43/8665.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/43/8665.jpg
17;219;机房/广播站;西山发射台;杭州市萧山区城厢镇西山;杭州市;萧山区;120.257475;30.162848;不开放;/whyx20221018/43/8029.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/43/8029.jpg
9;205;体育设施;严陵村老年活动中心;富春江镇严陵村蒋家埠;杭州市;桐庐县;119.63455;29.72492;周一至周日8:00-17：00;/whyx20221018/43/6272.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/43/6272.jpg
12;208;儿童之家;临平区妇女儿童服务中心;杭州市临平区临平街道龙王塘路109号;杭州市;临平区;120.297605;30.419475;周一至周五9.00-17.30;/whyx20221018/43/5000.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/43/5000.jpg
1;198;农家书屋;转塘街道大诸桥社区图书室;杭州市西湖区大诸桥社区167号;杭州市;西湖区;120.091879;30.169423;周一至周五9：00-16：00 周二和周四晚上19：00-21：00 周六周日13：00-16：00;/whyx20221018/43/11937.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/43/11937.jpg
3;200;文化活动室;御道社区文化活动室;杭州市上城区御道社区文化活动室;杭州市;上城区;120.2330015;30.27814404;nan;/whyx20221018/42/8967.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/42/8967.jpg
3;200;文化活动室;红石板社区文化活动室;杭州市拱墅区红石板社区文化活动室;杭州市;拱墅区;120.1493326;30.28599593;nan;/whyx20221018/42/8556.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/42/8556.jpg
16;212;文化家园;东河社区文化家园活动室;拱墅区建国北路537号;杭州市;拱墅区;120.175;30.2721;9:00-17:00;/whyx20221018/42/6051.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/42/6051.jpg
16;212;文化家园;绿茵园社区文化家园;杭州市萧山区永金路235号;杭州市;萧山区;120.2704009;30.18045948;周一-周五上午9点-11点，下午2点-5点;/whyx20221018/41/8302.jpg;https://fxhz.wgly.hangzhou.gov.cn/oss/whyx20221018/41/8302.jpg
